"","DV","Variable","# datapoints","R2","adjR2","AIC","BIC","F","RMSE","Coef","p-value","Robst p","BG_stat","DW_upper_stat","DW_lower_stat","BP_stat","RMSE_OS","ADF pvalue","PP pvalue","KPSS pvalue","Criteria1","Criteria2","Criteria3"
"1","EQ_large_cap","SPX_Index_30DRSIMoMPercentChangeL0","70","0.687187342017986","0.682653825235638","408.237412866899","412.734403350997","0","4.34259266806549","44.9564183309755","4.43578981636886e-19","1.01740981096358e-13","0.086328737011754","0.0517334145634409","0.948266585436559",NA,"6.11861918735246","0.0745206341794289","0.01","0.1","","",""
"2","EQ_large_cap","SPX_Index_30DRSIMoMDifferenceL0","70","0.641383483239857","0.636186142417246","417.802852986881","422.29984347098","0","4.64966944970386","0.811400945453631","5.114119190039e-17","8.45095105213865e-12","0.179909980853423","0.107015025269421","0.892984974730579",NA,"6.35211892708629","0.0687493325327624","0.01","0.1","","",""
"3","EQ_large_cap","VIX_IndexMoMDifferenceL0","70","0.534825582863241","0.528083924643868","436.013969459881","440.51095994398","4.40980585381112e-13","5.29559601392153","-1.42823747427985","4.40971851606535e-13","7.03118479456874e-06","0.638761975057272","0.29261016831402","0.70738983168598",NA,"7.4072955386005","0.01","0.01","0.1","","",""
"4","EQ_large_cap","SPX_Index_14DRSIMoMPercentChangeL0","70","0.487709613604912","0.48028511525136","442.767513412092","447.264503896191","1.28517196884559e-11","5.55731531160695","20.1726742857689","1.28517060492941e-11","2.83061488598765e-07","0.379433269618969","0.216872067083665","0.783127932916335",NA,"7.60276098297001","0.0183140612711621","0.01","0.1","","",""
"5","EQ_large_cap","SPX_Index_14DRSIMoMDifferenceL0","70","0.459536208822136","0.451703400254341","446.515034692917","451.012025177016","8.38116243073728e-11","5.70808244442856","0.387052500704709","8.38115821043042e-11","2.87459020314283e-08","0.320083184714957","0.189728421414915","0.810271578585085",NA,"7.67032816728737","0.0204417837690002","0.01","0.1","","",""
"6","EQ_large_cap","VIX_IndexMoMPercentChangeL0","70","0.432289316651489","0.424061625588467","449.957934654206","454.454925138305","4.70692484988433e-10","5.8501967066916","-18.9862580335665","4.70692459852308e-10","9.76438374218521e-05","0.933791005871455","0.43961026721196","0.56038973278804",NA,"7.97155606094544","0.01","0.01","0.1","","",""
"7","EQ_large_cap","BAA10YB_IndexMoMDifferenceL0","70","0.323987854546488","0.314190577076147","462.179872625635","466.676863109734","2.22406446148682e-07","6.38387220984768","-0.303244290019408","2.22406446216953e-07","1.01802287431344e-06","0.126502927254618","0.939313930225196","0.060686069774804",NA,"8.33755018052312","0.01","0.01","0.1","","",""
"8","EQ_large_cap","BAA10YB_IndexMoMPercentChangeL0","70","0.2685224462933","0.257921322326536","467.699757077227","472.196747561326","3.68168985676043e-06","6.64060177917466","-40.1239108212469","3.68168985670732e-06","8.87360204898878e-06","0.161789082362738","0.921709230913893","0.0782907690861074",NA,"8.54166696536288","0.01","0.01","0.1","","",""
"9","EQ_large_cap","AAIIBEAR_IndexMoMDifferenceL0","70","0.245051428164988","0.234110144515205","469.910573759412","474.407564243511","1.14098861381251e-05","6.74629952814519","-0.470292853772434","1.14098861381079e-05","0.00075152170605504","0.158553580956163","0.9299347848726","0.0700652151274",NA,"8.45142490011802","0.01","0.01","0.1","","",""
"10","EQ_large_cap","IPMATMoMDifferenceL1","70","0.239437792327238","0.228415151636328","470.429153120444","474.926143604542","1.48875918929425e-05","6.7713350935369","2.53963768288853","1.48875918929407e-05","1.52911958049274e-05","0.794578621764652","0.450545679757242","0.549454320242758",NA,"8.25253439169779","0.01","0.01","0.1","","",""
"11","EQ_large_cap","IPMATMoMPercentChangeL1","70","0.236729577630431","0.225667687451162","470.677966834805","475.174957318903","1.69164337961991e-05","6.7833800869063","277.348631961598","1.69164337961407e-05","2.13853370510856e-05","0.781658171010574","0.31834745647546","0.68165254352454",NA,"8.27278418023186","0.01","0.01","0.1","","",""
"12","EQ_large_cap","ism_man_newordersMoMPercentChangeL0","70","0.186469198541427","0.174678897071013","475.141964866673","479.638955350772","0.000169823326686247","7.0031581797352","49.8855468198898","0.000169823326686306","0.00784310396495851","0.644269268166508","0.590147568807498","0.409852431192502",NA,"8.86292065053462","0.01","0.01","0.1","","",""
"13","EQ_large_cap","MOVE_IndexMoMPercentChangeL0","70","0.185230570254573","0.173422317649567","475.248461193508","479.745451677606","0.000179501061291498","7.00848742515617","-25.3107025280596","0.000179501061291473","0.00777798045824641","0.732462389217419","0.657952388807772","0.342047611192228",NA,"8.80631539968619","0.01","0.01","0.1","","",""
