"","DV","Variable","# datapoints","R2","adjR2","AIC","BIC","F","RMSE","Coef","p-value","Robst p","BG_stat","DW_upper_stat","DW_lower_stat","BP_stat","RMSE_OS","ADF pvalue","PP pvalue","KPSS pvalue","Criteria1","Criteria2","Criteria3"
"1","FI_treas_short","USGG10YR_IndexMoMDifferenceL0","70","0.203519700766466","0.191976508023951","26.259040881343","30.7560313654417","7.8671890887283e-05","0.283669518956332","-0.780802517593787","7.867189088729e-05","0.00245760665760186","6.683715426648e-05","0.999991548715677","8.45128432336306e-06",NA,"0.0723196904397309","0.01","0.01","0.1","","",""
"2","FI_treas_short","USGG10YR_IndexMoMPercentChangeL0","70","0.187706059466669","0.175933683516911","27.6352321672951","32.1322226513938","0.000160670045253664","0.286471722851945","-1.63324891525751","0.000160670045253703","0.00178018257374886","5.5998888878073e-05","0.999993469387409","6.53061259059395e-06",NA,"0.046063081410115","0.01","0.01","0.1","","",""
"3","FI_treas_short","USGG2YR_IndexMoMPercentChangeL0","70","0.180302322589213","0.168422646104999","28.2703642736265","32.7673547577252","0.000223650718266244","0.287774299495482","-0.881637324870075","0.000223650718266226","0.000337203872809288","0.000167227798783027","0.99998126444248","1.87355575196335e-05",NA,"0.0416091536529088","0.01","0.01","0.1","","",""
"4","FI_treas_short","USGG30YR_IndexMoMDifferenceL0","70","0.169820428954932","0.157788840968772","29.1598152034384","33.6568056875371","0.000355906443112897","0.289608413293182","-0.777342267218996","0.000355906443112872","0.0106588988499405","0.00010037448068275","0.999983005061047","1.69949389531299e-05",NA,"0.0839292608367467","0.01","0.01","0.1","","",""
"5","FI_treas_short","USGG30YR_IndexMoMPercentChangeL0","70","0.153921934927917","0.141659933984843","30.487687399515","34.9846778836137","0.00071462905205677","0.292368359658067","-2.09098662246312","0.000714629052056763","0.00789038472106028","8.00084317086787e-05","0.99998848394758","1.1516052420224e-05",NA,"0.0723301558027164","0.01","0.01","0.1","","",""
"6","FI_treas_short","USGG2YR_IndexMoMDifferenceL0","70","0.143962214090387","0.131555869367059","31.3068894711224","35.8038799552211","0.00110131502711019","0.294084151591412","-0.994302781581884","0.00110131502711027","1.61343959101569e-05","5.64865614923541e-05","0.999994586427538","5.4135724620874e-06",NA,"0.115614556091047","0.01","0.01","0.1","","",""
