"","x"
"1",0.0800020000000004
"2",-0.159999999999997
"3",0.32
"4",0.439998000000003
"5",-0.0700000000000003
"6",-0.400001000000003
"7",0.710003
"8",0.179996000000003
"9",0.100002999999994
"10",0.239997000000002
"11",0.310001999999997
"12",0.25
"13",0.200001
"14",0.630001
"15",-0.130001
"16",0.259998000000003
"17",0.400001000000003
"18",0.340000999999994
"19",0.950000000000003
"20",-0.170001999999997
"21",0.200001
"22",-0.610000000000007
"23",-0.340000999999994
"24",-0.770000000000003
"25",0.610000999999997
"26",-0.419998999999997
"27",0.369999
"28",0.25
"29",0.0200010000000006
"30",-0.32
"31",0.689999
"32",0.619999
"33",0.350001999999996
"34",-0.200000999999993
"35",0.349998999999997
"36",1.010002
"37",0.399996999999999
"38",-0.00999799999999595
"39",-0.0499990000000068
"40",-0.760002
"41",-0.75
"42",-0.239998
"43",-0.530002999999994
"44",0.430000999999997
"45",-0.0599980000000002
"46",0.219996999999999
"47",0.350003000000001
"48",-0.340000000000003
"49",0.0400010000000037
"50",0.459998999999996
"51",-0.270000999999993
"52",0.290000999999997
"53",0.0799980000000033
"54",-0.590000000000003
"55",-0.309998
"56",0.0900010000000009
"57",0.579997999999996
"58",-0.130001999999998
"59",-0.169998
"60",0.279999000000004
"61",0.0300029999999936
"62",-0.0200009999999935
"63",-0.180000000000007
"64",-0.0100020000000001
"65",0.229999000000007
"66",-0.509998000000003
"67",0.540000999999997
"68",0.0599970000000027
"69",0.920002000000004
"70",0.0400009999999966
