"","x"
"1",3
"2",-1.174999
"3",2.684997
"4",1.975002
"5",2.060002
"6",-0.610000999999997
"7",-1.850002
"8",1.875
"9",0.549999
"10",-1.529999
"11",-0.00999800000000306
"12",2.189999
"13",-2.810002
"14",2.135002
"15",-2.764999
"16",3.360001
"17",0.340000000000003
"18",-0.570003999999997
"19",-1.759998
"20",3.264999
"21",0.584998999999996
"22",-1.389999
"23",0.920001999999997
"24",0.32
"25",-0.470001000000003
"26",-2.755002
"27",-2.204998
"28",3.175
"29",1.5
"30",-3.945
"31",-3.029999
"32",0.375
"33",3.77000099999999
"34",0.529998000000006
"35",0.950001
"36",0.129996999999996
"37",2.585003
"38",0.770001000000001
"39",0.189998000000003
"40",-2.470001
"41",6.709999
"42",0.405002999999994
"43",-0.375
"44",1.029999
"45",-0.419998
"46",0.529997999999999
"47",-1.060001
"48",1.455002
"49",0.665000999999997
"50",-1.565003
"51",4.365002
"52",0.669997999999993
"53",2.41999800000001
"54",-1.629997
"55",1.66999800000001
"56",-2.57000000000001
"57",0.895004999999998
"58",0.824996999999996
"59",4.49500200000001
"60",0.485000999999997
"61",2.26999699999999
"62",3.550003
"63",-2.650002
"64",-7.92999999999999
"65",1.049995
"66",-8.619995
"67",6.330002
"68",2.889999
"69",-2.520004
"70",2.54000099999999
