"","x"
"1",2.369995
"2",-1.829994
"3",0.509995000000004
"4",2.370002
"5",0.360000999999997
"6",-0.569999999999993
"7",0.69000299999999
"8",2.219993
"9",-0.629997000000003
"10",0.0900040000000075
"11",0.539992999999996
"12",0.600006000000008
"13",-3.54000000000001
"14",2.459999
"15",-3.56999999999999
"16",0.54000099999999
"17",-2.34000399999999
"18",-2.90999600000001
"19",0.989998
"20",2.51999600000001
"21",-1.679992
"22",0.659995999999992
"23",-0.0599979999999931
"24",-2.970001
"25",-1.379997
"26",-2.880005
"27",-4.04999600000001
"28",2.430001
"29",-3.33000200000001
"30",-4.349999
"31",-2.10000599999999
"32",0.660004000000001
"33",2.459999
"34",3.150002
"35",-0.209999999999994
"36",1.37999799999999
"37",1.11000000000001
"38",1.44000299999999
"39",0.540001000000004
"40",-1.380005
"41",-0.419998000000007
"42",0.989997000000002
"43",1.380005
"44",0.930001000000004
"45",-0.870002999999997
"46",0.629997000000003
"47",0.75
"48",-0.570000000000007
"49",0.599998999999997
"50",-0.419997999999993
"51",0.179999999999993
"52",-0.239998
"53",-0.900001000000003
"54",-0.659995999999992
"55",-0.0600060000000013
"56",-1.470001
"57",-1.079994
"58",0.0599979999999931
"59",-0.75
"60",-0.41999899999999
"61",1.37999799999999
"62",0.180000000000007
"63",0.150002000000001
"64",-2.669999
"65",-1.29000099999999
"66",-3.420005
"67",5.280006
"68",1.01999699999999
"69",0.84011000000001
"70",0.900002000000001
