"","x"
"1",8.290009
"2",-5.060013
"3",4.36000100000001
"4",7.77999800000001
"5",5.21000699999999
"6",3.69000199999999
"7",-6.510009
"8",8.11000000000001
"9",0.720001999999994
"10",1.300003
"11",4.36999499999999
"12",3.040008
"13",-2.63000499999998
"14",7.62001099999998
"15",-3.69000299999999
"16",4.63999999999999
"17",5.53999300000001
"18",-1.66000399999999
"19",-6.08999600000001
"20",11.210007
"21",-4.23001099999999
"22",2.03001399999999
"23",2.679992
"24",-5.28999299999998
"25",4.64999399999999
"26",-12.830002
"27",-6.03999299999998
"28",16.299988
"29",0.760008999999997
"30",-4.820007
"31",-10.149994
"32",-0.160002999999989
"33",11.960006
"34",0.809998000000007
"35",3.50999400000001
"36",-0.360000000000014
"37",7.63999899999999
"38",0.260010000000023
"39",-1.08000200000001
"40",-3.75
"41",7.83000200000001
"42",3.14999399999999
"43",4
"44",8.94000199999999
"45",-0.729996
"46",2.33999700000001
"47",3.35999999999999
"48",0.360001000000011
"49",4.970001
"50",0.720000999999996
"51",3.739991
"52",5.91999799999999
"53",7.86001600000003
"54",1.84997499999997
"55",15.040009
"56",-10.25
"57",-8.5
"58",1.36001600000003
"59",6.42999199999997
"60",0.339996999999983
"61",10.049988
"62",8.98001099999999
"63",0.410003000000017
"64",-20.089996
"65",5.01998900000001
"66",-25.729996
"67",20.009995
"68",8.75
"69",3.80001799999997
"70",11.539978
