"","x"
"1",0.0799979999999962
"2",-0.229998999999999
"3",0.300002999999997
"4",0.329998000000003
"5",-0.189999
"6",-0.280003000000001
"7",0.400002000000001
"8",0.18
"9",-0.18
"10",0.130001
"11",0.289997
"12",0.0400010000000037
"13",-0.239998
"14",0.259998999999993
"15",-0.349998999999997
"16",0.200001
"17",0.0599970000000027
"18",-0.209999000000003
"19",0.630001
"20",-0.350001999999996
"21",0.0800019999999932
"22",-0.0200009999999935
"23",-0.200000000000003
"24",-0.349998999999997
"25",0.0399969999999996
"26",-0.219997000000006
"27",0.160000000000004
"28",0
"29",-0.0700000000000003
"30",-0.450001
"31",0.220002000000001
"32",0.189998000000003
"33",0.43
"34",0.200001
"35",-0.150001000000003
"36",0.569999000000003
"37",0.130001
"38",-0.119998000000002
"39",0.00999799999999595
"40",-0.25
"41",-0.740001999999997
"42",-0.00999800000000306
"43",0.150001000000003
"44",0.180000999999997
"45",-0.110000999999997
"46",0.18
"47",0.189999
"48",-0.0900000000000034
"49",0.180000000000007
"50",0.0699999999999932
"51",-0.150001999999994
"52",0.0100020000000001
"53",-0.189998000000003
"54",-0.110000999999997
"55",-0.25
"56",-0.389999000000003
"57",-0.0400010000000037
"58",-0.229999999999997
"59",0.0499999999999972
"60",-0.0700000000000003
"61",0.0599970000000027
"62",0.0600019999999972
"63",-0.110000999999997
"64",-0.299999
"65",-0.139999000000003
"66",0.18
"67",0.680000000000007
"68",-0.0400010000000037
"69",0.489998
"70",0.0400010000000037
