"","x"
"1",0.0800000000000018
"2",-0.110001
"3",0.180000999999997
"4",0.0300000000000011
"5",0.0500000000000007
"6",-0.129999000000002
"7",0.0499989999999997
"8",0.0699990000000028
"9",-0.0499989999999997
"10",0.0300009999999986
"11",0.0599990000000012
"12",-0.0400010000000002
"13",-0.0699990000000028
"14",0.0400010000000002
"15",-0.0899999999999999
"16",0.0599990000000012
"17",-0.0199999999999996
"18",-0.150000000000002
"19",0.120001000000002
"20",0.0399989999999981
"21",0.0100000000000016
"22",-0.0499989999999997
"23",-0.0400010000000002
"24",-0.0599999999999987
"25",0
"26",-0.130001
"27",0.0500009999999982
"28",0.0500000000000007
"29",0
"30",-0.170000000000002
"31",-0.020000999999997
"32",0.110000999999997
"33",0.139999000000003
"34",0.0700019999999988
"35",-0.0700019999999988
"36",0.150001999999997
"37",0.0599990000000012
"38",-0.0700000000000003
"39",0
"40",-0.0600009999999997
"41",-0.169998
"42",-0.0100000000000016
"43",0.0599990000000012
"44",0.0200010000000006
"45",0
"46",0.0299979999999991
"47",0.0300010000000022
"48",-0.0300010000000022
"49",0.0600020000000008
"50",0.0299990000000001
"51",-0.0599999999999987
"52",-0.0100000000000016
"53",-0.149999999999999
"54",-0.0899999999999999
"55",-0.0700000000000003
"56",-0.149999000000001
"57",0
"58",-0.0300009999999986
"59",0.0499989999999997
"60",-0.0599990000000012
"61",0.0300009999999986
"62",0.0699990000000028
"63",-0.0800000000000018
"64",-0.0799999999999983
"65",-0.0200000000000031
"66",0.0599990000000012
"67",0.270001000000001
"68",0.0100000000000016
"69",0.129998999999998
"70",0.0100000000000016
