"","x"
"1",1.360001
"2",0.239999000000001
"3",-0.0799990000000008
"4",-0.390001999999999
"5",-0.319998999999999
"6",0.970001
"7",-0.820001999999999
"8",1.770001
"9",-0.0299990000000001
"10",-0.160001999999999
"11",1.01
"12",1.290001
"13",-1.86
"14",-0.5
"15",-1.270001
"16",-2.949999
"17",-4.149999
"18",-4.330001
"19",-2.08
"20",1.01
"21",-1.14
"22",1.69
"23",-0.44
"24",-0.140000000000001
"25",-2.52
"26",0.35
"27",-1.08
"28",0.24
"29",-1.13
"30",-1.41
"31",-1.05
"32",-0.62
"33",0.39
"34",0.83
"35",0.460000000000001
"36",0.0999999999999996
"37",-1.1
"38",0.369999999999999
"39",0.44
"40",-0.299999999999999
"41",0.43
"42",0.68
"43",-0.33
"44",-0.0399999999999991
"45",-0.520000000000001
"46",-0.25
"47",-0.25
"48",-0.219999999999999
"49",0.469999999999999
"50",-0.209999999999999
"51",0.459999999999999
"52",0.450000000000001
"53",0.44
"54",0.470000000000001
"55",0.81
"56",-0.470000000000001
"57",0.68
"58",0.65
"59",0.0999999999999996
"60",0.540000000000001
"61",-0.25
"62",0.43
"63",0.84
"64",-1.31
"65",-2.69
"66",-1.01
"67",1.45
"68",0.42
"69",0.17
"70",0.41
